url_path,views_total,views_unique
/AiratTop/gatus-self-hosted,3,3
/AiratTop/gatus-self-hosted/blob/main/backup.sh,3,2
/AiratTop/gatus-self-hosted/blob/main/restart-docker.sh,3,1
/AiratTop/gatus-self-hosted/blob/main/config/config.yaml,2,1
/AiratTop/gatus-self-hosted/blob/main/.env,1,1
/AiratTop/gatus-self-hosted/blob/main/.github/CODE_OF_CONDUCT.md,1,1
/AiratTop/gatus-self-hosted/blob/main/README.md,1,1
/AiratTop/gatus-self-hosted/blob/main/docker-compose.yml,1,1
/AiratTop/gatus-self-hosted/blob/main/update-docker.sh,1,1
/AiratTop/gatus-self-hosted/branches,1,1
