time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-02 00:00:00+00:00,66,18,0,0
2026-09-03 00:00:00+00:00,10,7,0,0
2026-09-04 00:00:00+00:00,203,31,0,0
2026-09-05 00:00:00+00:00,30,14,0,0
2026-09-06 00:00:00+00:00,26,12,0,0
2026-09-07 00:00:00+00:00,84,15,0,0
2026-09-08 00:00:00+00:00,26,7,3,2
2026-09-09 00:00:00+00:00,15,7,0,0
2026-09-10 00:00:00+00:00,7,6,0,0
2026-09-11 00:00:00+00:00,5,5,0,0
2026-09-12 00:00:00+00:00,5,4,0,0
2026-09-13 00:00:00+00:00,3,2,1,1
2026-09-14 00:00:00+00:00,3,3,1,1
2026-09-15 00:00:00+00:00,0,0,1,1
