time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-20 00:00:00+00:00,59,39,2,1
2026-08-21 00:00:00+00:00,123,53,5,3
2026-08-22 00:00:00+00:00,79,49,3,1
2026-08-23 00:00:00+00:00,114,58,1,1
2026-08-24 00:00:00+00:00,65,45,2,2
2026-08-25 00:00:00+00:00,71,49,6,3
2026-08-26 00:00:00+00:00,28,15,1,1
2026-08-27 00:00:00+00:00,78,61,2,1
2026-08-28 00:00:00+00:00,89,63,1,1
2026-08-29 00:00:00+00:00,94,71,1,1
2026-08-30 00:00:00+00:00,57,50,3,2
2026-08-31 00:00:00+00:00,63,53,5,2
2026-09-01 00:00:00+00:00,96,63,6,3
2026-09-02 00:00:00+00:00,121,68,3,2
