time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-28 00:00:00+00:00,89,63,1,1
2026-08-29 00:00:00+00:00,94,71,1,1
2026-08-30 00:00:00+00:00,57,50,3,2
2026-08-31 00:00:00+00:00,63,53,5,2
2026-09-01 00:00:00+00:00,96,63,6,3
2026-09-02 00:00:00+00:00,121,68,3,2
2026-09-03 00:00:00+00:00,81,60,3,2
2026-09-04 00:00:00+00:00,576,132,2,2
2026-09-05 00:00:00+00:00,562,124,2,2
2026-09-06 00:00:00+00:00,210,93,2,2
2026-09-07 00:00:00+00:00,204,100,4,3
2026-09-08 00:00:00+00:00,100,73,3,2
2026-09-09 00:00:00+00:00,98,67,7,3
2026-09-10 00:00:00+00:00,167,104,1,1
