url_path,views_total,views_unique
/AiratTop/wordpress-self-hosted,8,7
/AiratTop/wordpress-self-hosted/tree/main/config,4,2
/AiratTop/wordpress-self-hosted/blob/main/docker-compose.yml,3,2
/AiratTop/wordpress-self-hosted/tree/main,3,2
/AiratTop/wordpress-self-hosted/blob/main/config/Caddyfile,2,1
/AiratTop/wordpress-self-hosted/blob/main/config/php.ini,2,1
/AiratTop/wordpress-self-hosted/blob/main/.env,1,1
/AiratTop/wordpress-self-hosted/blob/main/AGENTS.md,1,1
/AiratTop/wordpress-self-hosted/commit/6779a92dce7a10d3f5e272214b480d9c20e5e149,1,1
/AiratTop/wordpress-self-hosted/issues,1,1
