url_path,views_total,views_unique
/AiratTop/wordpress-self-hosted,7,6
/AiratTop/wordpress-self-hosted/blob/main/docker-compose.yml,5,4
/AiratTop/wordpress-self-hosted/blob/main/.env,3,3
/AiratTop/wordpress-self-hosted/blob/main/backup.sh,2,1
/AiratTop/wordpress-self-hosted/blob/main/.gitignore,1,1
/AiratTop/wordpress-self-hosted/blob/main/config/php.ini,1,1
/AiratTop/wordpress-self-hosted/blob/main/restart-docker.sh,1,1
/AiratTop/wordpress-self-hosted/blob/main/update-docker.sh,1,1
/AiratTop/wordpress-self-hosted/pulls,1,1
/AiratTop/wordpress-self-hosted/tree/main,1,1
