url_path,views_total,views_unique
/AiratTop/wordpress-self-hosted,15,11
/AiratTop/wordpress-self-hosted/blob/main/docker-compose.yml,8,6
/AiratTop/wordpress-self-hosted/blob/main/backup.sh,6,2
/AiratTop/wordpress-self-hosted/blob/main/.env,5,4
/AiratTop/wordpress-self-hosted/blob/main/config/php.ini,2,2
/AiratTop/wordpress-self-hosted/blob/main/restart-docker.sh,2,2
/AiratTop/wordpress-self-hosted/blob/main/update-docker.sh,2,2
/AiratTop/wordpress-self-hosted/blob/main/README.md,2,1
/AiratTop/wordpress-self-hosted/blob/main/.gitignore,1,1
/AiratTop/wordpress-self-hosted/blob/main/AGENTS.md,1,1
