url_path,views_total,views_unique
/AiratTop/wordpress-self-hosted,12,8
/AiratTop/wordpress-self-hosted/blob/main/docker-compose.yml,4,3
/AiratTop/wordpress-self-hosted/blob/main/backup.sh,4,1
/AiratTop/wordpress-self-hosted/blob/main/.env,3,2
/AiratTop/wordpress-self-hosted/blob/main/README.md,2,1
/AiratTop/wordpress-self-hosted/blob/main/AGENTS.md,1,1
/AiratTop/wordpress-self-hosted/blob/main/config/Caddyfile,1,1
/AiratTop/wordpress-self-hosted/blob/main/config/php.ini,1,1
/AiratTop/wordpress-self-hosted/blob/main/restart-docker.sh,1,1
/AiratTop/wordpress-self-hosted/blob/main/update-docker.sh,1,1
