url_path,views_total,views_unique
/AiratTop/qdrant-self-hosted,20,14
/AiratTop/qdrant-self-hosted/blob/main/update-docker.sh,9,3
/AiratTop/qdrant-self-hosted/blob/main/docker-compose.yml,3,3
/AiratTop/qdrant-self-hosted/blob/main/.env,2,2
/AiratTop/qdrant-self-hosted/blob/main/README.md,2,2
/AiratTop/qdrant-self-hosted/blob/main/AGENTS.md,1,1
/AiratTop/qdrant-self-hosted/blob/main/LICENSE,1,1
/AiratTop/qdrant-self-hosted/blob/main/create-docker-volume.sh,1,1
/AiratTop/qdrant-self-hosted/blob/main/restart-docker.sh,1,1
