url_path,views_total,views_unique
/AiratTop/qdrant-self-hosted/blob/main/update-docker.sh,18,5
/AiratTop/qdrant-self-hosted,16,15
/AiratTop/qdrant-self-hosted/blob/main/docker-compose.yml,8,4
/AiratTop/qdrant-self-hosted/blob/main/create-docker-volume.sh,6,3
/AiratTop/qdrant-self-hosted/blob/main/restart-docker.sh,5,2
/AiratTop/qdrant-self-hosted/blob/main/AGENTS.md,3,3
/AiratTop/qdrant-self-hosted/blob/main/.env,3,2
/AiratTop/qdrant-self-hosted/blob/main/LICENSE,3,1
/AiratTop/qdrant-self-hosted/blob/main/.gitignore,2,2
/AiratTop/qdrant-self-hosted/blob/main/README.md,1,1
