referrer,views_total,views_unique
yandex.ru,6,5
DuckDuckGo,4,3
Bing,2,2
blog.airat.top,2,1
wiki.x5.ru,2,1
ya.ru,2,1
Google,1,1
github.com,1,1
search.brave.com,1,1
