url_path,views_total,views_unique
/AiratTop/n8n-self-hosted,11,10
/AiratTop/n8n-self-hosted/blob/main/docker-compose.yml,5,4
/AiratTop/n8n-self-hosted/blob/main/.env,2,2
/AiratTop/n8n-self-hosted/blob/main/backup.sh,2,1
/AiratTop/n8n-self-hosted/blob/main/restart-docker.sh,2,1
/AiratTop/n8n-self-hosted/blob/main/start-docker.sh,2,1
/AiratTop/n8n-self-hosted/blob/main/update-docker.sh,2,1
/AiratTop/n8n-self-hosted/commit/31c2515f2c34a87edf008b9236bcd1477db53d2a,2,1
/AiratTop/n8n-self-hosted/blob/main/caddy-reload.sh,1,1
/AiratTop/n8n-self-hosted/commit/ce40cece5a30ba94fac3d3bd12ab860a18823480,1,1
