time_iso8601,stars_cumulative
2025-10-06 00:00:00+00:00,1
2025-10-08 00:00:00+00:00,2
2025-11-08 00:00:00+00:00,3
2026-03-27 00:00:00+00:00,4
2026-04-09 00:00:00+00:00,5
